column_names,importances,abs_importances,cumsum
ORGANIZATION_TYPE_Kindergarten,0.0028837111,0.0028837111,0.7883576
HOUR_APPR_PROCESS_START_16,0.0028803458,0.0028803458,0.79123795
FLAG_DOCUMENT_11_1,0.002877043,0.002877043,0.794115
FLAG_EMP_PHONE_1,0.0028764172,0.0028764172,0.7969914
NONLIVINGAPARTMENTS_AVG,0.002863099,0.002863099,0.7998545
OBS_30_CNT_SOCIAL_CIRCLE_5.0,0.0028320896,0.0028320896,0.80268663
FLOORSMIN_AVG,0.0028156037,0.0028156037,0.80550224
FLAG_OWN_REALTY_Y,0.0028107867,0.0028107867,0.808313
CNT_FAM_MEMBERS_4.0,0.0027928175,0.0027928175,0.81110585
NONLIVINGAPARTMENTS_MODE,0.0027763597,0.0027763597,0.81388223
YEARS_BEGINEXPLUATATION_AVG,0.00276733,0.00276733,0.81664956
NONLIVINGAREA_MODE,0.0027645922,0.0027645922,0.81941414
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0027483262,0.0027483262,0.82216245
ORGANIZATION_TYPE_Housing,0.0027221506,0.0027221506,0.8248846
HOUR_APPR_PROCESS_START_12,0.0027090688,0.0027090688,0.8275937
HOUR_APPR_PROCESS_START_5,0.002709013,0.002709013,0.8303027
ORGANIZATION_TYPE_Transport: type 4,0.0027052362,0.0027052362,0.83300793
YEARS_BUILD_AVG,0.002697087,0.002697087,0.83570504
ORGANIZATION_TYPE_Security,0.002695377,0.002695377,0.8384004
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0026928291,0.0026928291,0.84109324
OCCUPATION_TYPE_nan,0.002688662,0.002688662,0.8437819
HOUR_APPR_PROCESS_START_20,0.0026814586,0.0026814586,0.8464633
ORGANIZATION_TYPE_Industry: type 9,0.002668611,0.002668611,0.84913194
AMT_REQ_CREDIT_BUREAU_YEAR_9.0,0.0026594668,0.0026594668,0.8517914
DEF_30_CNT_SOCIAL_CIRCLE_2.0,0.0026410082,0.0026410082,0.8544324
EMERGENCYSTATE_MODE_No,0.0026346897,0.0026346897,0.8570671
AMT_REQ_CREDIT_BUREAU_MON_0.0,0.0026325649,0.0026325649,0.85969967
ORGANIZATION_TYPE_Security Ministries,0.0026310163,0.0026310163,0.8623307
NAME_HOUSING_TYPE_House / apartment,0.0026283246,0.0026283246,0.864959
NAME_EDUCATION_TYPE_Academic degree,0.0026235601,0.0026235601,0.86758256
WALLSMATERIAL_MODE_Others,0.0026018666,0.0026018666,0.8701844
AMT_REQ_CREDIT_BUREAU_HOUR_0.0,0.0025937587,0.0025937587,0.8727782
BASEMENTAREA_MEDI,0.0025906393,0.0025906393,0.87536883
SK_ID_CURR,0.0025825403,0.0025825403,0.8779514
ORGANIZATION_TYPE_Bank,0.002579768,0.002579768,0.88053113
FLOORSMIN_MEDI,0.002572637,0.002572637,0.8831038
LANDAREA_AVG,0.002565187,0.002565187,0.885669
OBS_60_CNT_SOCIAL_CIRCLE_3.0,0.0025573145,0.0025573145,0.88822633
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0025562039,0.0025562039,0.89078254
AMT_REQ_CREDIT_BUREAU_YEAR_1.0,0.0025558998,0.0025558998,0.89333844
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0025315518,0.0025315518,0.89587
ORGANIZATION_TYPE_Realtor,0.0025281936,0.0025281936,0.89839816
FLAG_DOCUMENT_15_1,0.0025273638,0.0025273638,0.9009255
HOUR_APPR_PROCESS_START_11,0.0025271783,0.0025271783,0.9034527
ORGANIZATION_TYPE_Business Entity Type 1,0.002506617,0.002506617,0.9059593
OCCUPATION_TYPE_Managers,0.002503557,0.002503557,0.9084629
LANDAREA_MODE,0.0024955305,0.0024955305,0.9109584
